phase,objective,changed_fraction,helpful_fraction,harmful_fraction,trim_precision,long_R5_penalty,baseline_R1_mIoU,stage_R1_mIoU,baseline_R5_mIoU,stage_R5_mIoU,baseline_R1_IoU@0.5,stage_R1_IoU@0.5,stage_b_go,config
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.2, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.5, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.3, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.5, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.5, ""min_retained_ratio"": 0.75, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.2, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.5, ""min_retained_ratio"": 0.75, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.3, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.5, ""min_retained_ratio"": 0.75, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.5, ""min_retained_ratio"": 0.85, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.2, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.5, ""min_retained_ratio"": 0.85, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.3, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.5, ""min_retained_ratio"": 0.85, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.2, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.3, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.75, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.2, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.75, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.3, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.75, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.85, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.2, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.85, ""selector"": ""counterfactual_gated""}"
geometry,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.3, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.02, ""min_parent_width"": 0.65, ""min_retained_ratio"": 0.85, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.01, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.5, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.01, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.01, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.85, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.5, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.85, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.05, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.5, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.05, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.05, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.85, ""min_contrast_margin"": 0.0, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.01, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.5, ""min_contrast_margin"": 0.01, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.01, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.7, ""min_contrast_margin"": 0.01, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.01, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.85, ""min_contrast_margin"": 0.01, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999990686774,0.8999999990686774,0.8999999990686774,0.8999999990686774,1.0,1.0,False,"{""accept_margin"": 0.01, ""allowed_candidate_types"": [""left_near"", ""left_strong"", ""right_near"", ""right_strong""], ""enabled"": true, ""lambda_boundary"": 0.1, ""lambda_contrast"": 1.0, ""lambda_edit"": 0.25, ""lambda_uncertainty"": 0.5, ""max_contrast_std"": 0.03, ""max_nll_increase"": 0.0, ""max_relative_shift"": 0.1, ""min_boundary_percentile"": 0.5, ""min_contrast_margin"": 0.01, ""min_parent_width"": 0.35, ""min_retained_ratio"": 0.6, ""selector"": ""counterfactual_gated""}"
